cluster idx,coord-x,coord-y,coord-z,peak value,area,annot
1,-38.91130447387695,3.960408926010132,-7.2871479988098145,4.842274188995361,0.7256153424580891,insula
2,-39.45759582519531,4.848354816436768,-4.143032073974609,4.937723636627197,1.0216158827145894,insula
3,-38.892024993896484,3.1800880432128906,1.2292619943618774,4.86642599105835,1.5298250118891399,insula
4,-35.94798278808594,18.880970001220703,-4.799911022186279,4.928996562957764,1.07310422261556,insula
5,-32.66648864746094,4.991011142730713,-25.256532669067383,4.887768745422363,0.7858239412307739,insula
6,-30.9234561920166,4.301568984985352,-15.498626708984375,5.0,1.8927323619524636,unknown
7,-26.04606056213379,0.9714189767837524,-25.14771842956543,4.964122772216797,0.42723266283671063,entorhinal
8,-4.15114688873291,41.63628387451172,-3.909367084503174,4.928597450256348,0.9551951885223389,rostralanteriorcingulate
