cluster idx,coord-x,coord-y,coord-z,peak value,area,annot
9,-4.643802165985107,-4.182356834411621,53.1888427734375,4.98911190032959,1.1152221759160361,superiorfrontal
10,-38.798606872558594,-13.74301815032959,-0.48728498816490173,4.879087448120117,2.178774893283844,insula
11,-38.133731842041016,-12.406938552856445,-2.9460508823394775,4.8564863204956055,0.27501535415649414,insula
12,-40.01912307739258,-9.08046817779541,-1.0908169746398926,4.819088459014893,0.35740753014882404,insula
13,-39.538909912109375,-10.904707908630371,7.652958869934082,4.996542453765869,1.9964219729105634,insula
14,-27.020606994628906,16.666109085083008,-17.425687789916992,4.867453575134277,0.3403431971867879,lateralorbitofrontal
15,-43.61132049560547,5.719456195831299,-36.158226013183594,4.849466323852539,0.32157490650812787,middletemporal
16,-23.726472854614258,-12.458182334899902,-24.448909759521484,4.846646785736084,0.4812108675638835,unknown
17,-16.632244110107422,32.66144561767578,52.58934783935547,4.8218278884887695,0.3958511749903361,superiorfrontal
